issue_title,body
OAuth token stored on gitconfig file,"How can I do to store the OAuth token inside ~/.gitconfig instead ~/.config/hub? I want to do the ""!"" trick to get the token from my keychain.
"
Feature to exercise #877,"This is a simplification of my failing #877 workflow, so at least I can be sure that it's not some unrelated, local-only occurrence.
"
use /dev/tty instead of /dev/stdout when prompting for information,"See neovim/neovim#5211
"
hub doesn't recognize credentials in cache,"I've setup a _credential helper_ for git as specified in https://help.github.com/articles/caching-your-github-password-in-git/

Using git, it works as expected and doesn't ask the password as per the timeout settings.

However, hub prompts for the username/password:

```
$  hub clone myorg/somerepo
github.com username: ^C
```

```
$  hub version
git version 2.5.0
hub version 2.2.0-238-gc25e33e
```
"
Hub checkout PR: Not a git repository,"```
> hub checkout https://github.com/iPlantCollaborativeOpenSource/atmosphere/pull/173 
fatal: Not a git repository
> hub --version
git version 2.4.0
hub version 2.2.3
```

OSX version: `10.11.3`
"
Pull request checkout with no 'leftovers',"I often checkout a pull request as a one-time thing. I want to take a look at the code and run it, but afterwards I'll switch back to my own branches and don't want a new remote or branch hanging around. It would be nice to have `--no-remote` and `--no-branch` flags for `hub checkout`.

I would expect `--no-remote` to do:

```
git fetch <remote-url>
git branch user-branchname FETCH_HEAD
git checkout user-branchname
```

With `--no-branch` it would be:

```
git fetch <remote-url>
git checkout FETCH_HEAD
```

Does this sound useful? I'd be happy to take a stab at it (I'd like to learn some go).
"
Added command to show the latest release.,"This adds a `release latest` command that uses the [`releases/latest`](https://developer.github.com/v3/repos/releases/#get-the-latest-release) endpoint to retrieve the latest full release and output the results using the same format as `release show`.
"
Add default host as configuration option (hub.defaultHost),"This adds a git configuration option to set the default GitHub host.  We are deploying GitHub Enterprise, and our developers will use our GitHub Enterprise server the _vast_ majority of the time (99+%, etc.), with access to github.com probably limited to a very few select situation.  As such, we'd prefer a more ""sticky"", uniform way to nearly always use our GitHub Enterprise server.

I've tried to model this off of what I see other code doing, etc.  I have had trouble running some of the tests, though, even without this case.  Therefore, it's highly likely that these tests need some work.  I'd really appreciate it if someone could work with me on that.  We really need this simple functionality, and would really like to have it in the official hub source.
"
`subtree` command does not respect user/repo as repo uri,"The subtree command takes a git url (for both `git subtree add` and `git subtree pull`) but it seems that hub doesn't expand user/repo to the full git uri for the subtree commands.

``` sh
$ hub subtree pull --prefix lib/sh-semver/ qzb/sh-semver master --squash
fatal: 'qzb/sh-semver' does not appear to be a git repository
fatal: Could not read from remote repository.

Please make sure you have the correct access rights
and the repository exists.
```
"
prepare pull request message hook,"By analogy to git's prepare-commit-message, it'd be great to be able to set up a prepare-pull-request-message as well. My specific use case is integrating with ticketing systems (e.g. Pivotal Tracker and Jira) which recognize ticket ids in commit and PR messages and automatically update the associated tickets. It's very handy to be able to have local configs and plug that information into the PR automatically.

(Respectfully, I see that the github PR templates were integrated into hub, and I'd've thought the .git/hooks approach would've been the right approach to that...)
"
Feature request: git url,"```
git-url [REMOTE] [REF] [--] [PATH]

Prints the GitHub URL of the specified item to standard output.

Arguments:
  REMOTE   Use the repository pointed at by the value. Defaults to master.
  REF      A branch, tag or commit
  PATH     A file path

Remarks:
  If a PATH is given, the specified path is linked in the given REF, or if
  not set, to the current branch, tag or commit (if detached).

  If a PATH is not given, the REF itself is linked, or the repository itself
  if not set.

  When REMOTE or REF is ambiguous, both must be supplied. When PATH is
  ambiguous, add a -- argument before it.

Examples:

  $ git url
  https://github.com/github/hub

  $ git url myremote
  https://github.com/myuser/hub

  $ git url 2.2-stable
  https://github.com/github/hub/tree/2.2-stable

  $ git url 88296d1
  https://github.com/github/hub/commit/88296d1

  $ git url README.md
  https://github.com/github/hub/blob/master/README.md

  $ git url 2.2-stable README.md
  https://github.com/github/hub/blob/2.2-stable/README.md

  $ git checkout 2.2-stable
  $ git url README.md
  https://github.com/github/hub/blob/2.2-stable/README.md

  $ git checkout 133ed4e
  $ git url README.md
  https://github.com/github/hub/blob/133ed4e/README.md 
```
"
pre-pull-request hook?,"We've got a pre-commit hook to run our style checkers, but it's a little annoying to have to deal with it on every commit. People end up ignoring it habitually and then get frustrated when it comes out in the build. Having a `pre-pull-request` hook would be awesome to run our basic style checks.
"
"Create an empty repository by executing ""hub create""","Normally, we use ""hub create"" to create new repository.

For example:

``` sh
$ mkdir test1
$ cd test1/
$ git init && git add . && git commit --allow-empty -m ""Initial commit""
$ hub create 
Updating origin
created repository: XXXXX/test1
```

Current directory have to be a git repo now. But I want to create an empty repository with ""hub create"".

Just like this:

``` sh
$ hub create -n shigemk2/test1
Updating origin
created repository: XXXXX/test1
```

Current directory is able to be anywhere(It doesn't have to be a git repo!).

Is this feature in demand?
"
Git LFS clone support,"Git LFS v1.2 (due ""real soon now"") will introduce support for ""git lfs clone"", a much faster and more efficient way to clone repositories that make extensive use of Git LFS than a regular ""git clone"".

For repositories hosted by GitHub (including GHE), it would be very nice to use both ""git lfs clone"" AND the hub-enhanced ways to refer to GitHub repositories.

In fact, ""bonus points"" awarded if it's possible to also automatically use ""git lfs clone"" instead of ""git clone"".
"
noop is ignored for non-hub-specific commands,"```
Josephs-MacBook-Pro:zfs joe$ hub --noop pull
remote: Counting objects: 34, done.
remote: Compressing objects: 100% (34/34), done.
remote: Total 34 (delta 7), reused 0 (delta 0), pack-reused 0
Unpacking objects: 100% (34/34), done.
From github.com:openzfsonosx/zfs
   1f1116c..5e27b31  libshare   -> origin/libshare
Already up-to-date.
Josephs-MacBook-Pro:zfs joe$
```
"
Close pull-requests,"Is there a way to close pull requests via hub?
"
Last pull-request title is uploaded instead of new one.,"When I do `git pull-request` being on a feature-branch, it opens my editor and it shows the last title and description I entered. However, once I overwrite it with the new title and description still uploads to Github the previous title and description. 

Why do we have this behavior?

Thanks.
"
hub pull-request trims the content,"I often create pull requests looking like this:

``` md
 - feature 1
 - feature 2
 - feature 3
 - some bug fix
 - ...
```

But it looks like `hub` trims my input, deleting the first space. That makes my list to look ugly:

```
- first
 - second
 - second
```

...being rendered like this:
- first
  - second
  - second

Since I put that space before the first `-` I expect to have one list like this:
- first
- second
- second
"
Adds a flag to `hub browse` to choose whether to open the current or …,"…default branch.

This is a start for #1107 to let the user control a bit more which page  is open when running ""hub browse"" in a tracked branch.
"
Some expressions in `compare` range could be dereferenced,"I like the hub compare feature. However, it would be nice if we could specify the commit ranges in more detail, like e.g.:

```
master@{1day}...master      # As suggested by GitHub compare page
HEAD^1..HEAD                # Not supported by GitHub but valid e.g. for git diff
```

Perhaps others will appreciate this as well and perhaps there is someone who is capable of implementing this in a short time (I am not a go person unfortunately). The first thing seems like a matter of string passing to URL, the second will perhaps involve some further manipulation.
"
Windows Setup: More info needed for Git Bash and PowerShell,"I've spent quite a few hours — after initial hub setup — in order to make sure everything was up and running. Mostly, it seems working: both `git` and `hub` commands give the same output of hub's help — at least ib Git Bash, but not in PowerShell! Couldn't work that one out...

I've found scarce info regarding how to setup PowerShell for aliasing `git` to `hub`. Like most people using Git on Windows, I also have installed PoshGit, which seems to add a bit more complexity with the PS users profiles issues.

At the end I gave up on PowerShell: both for aliasing and hub extra tab completion.

As for the Git Bash settings, aliasing wasn't difficoult, but I had to Google quite a lot to come clear about the `.bashrc` file having to be created into the user root folder. 
How I did it on Windows 7 was like this:
1. Enter Git Bash
2. Type `cd` (which brings back to user root folder)
3. Typed `touch .bashrc` to create the `.bashrc` file 
4.  Edited it with Vim (to be on the safe side of eol issues) to include the following line:
`eval ""\$(hub alias -s)""`

And it worked fine.

So, I hope the above info might be useful...

As for hub's Shell tab-completion, even after following instructions I am not sure that I've implemented it properly—how can I check if its working?
I've followed instructions, deciding to go for the `.bashrc` file modification (as if on Linux) and added the if statement with paths pointing to the `hub.bash_completion` file.

Is there no way that the ""Install.bat"" file could also handle setup of aliases and auto-completion?

Some support for PowerShell would be really appreciated!

These little frustrations aside, it's all great and smooth and managed to test and feel the improvement of hub: less burdening verbosity for those who (like me) mainly use Git only for GH operations!

Thanx
"
"hub complains ""Unauthorized (HTTP 401)"" and ""Bad credentials""","hub 2.2.2 on OS X complains ""Unauthorized (HTTP 401)"" and ""Bad credentials"" when I try to check out a pull request. 

I have not used `hub` before. My credentials work in curl and on the web site. I have nothing in any OS X keychain matching ""github"". My usual github access uses an SSH key and no 2FA.

```
% hub --version
git version 2.6.3 (Apple Git-62)
hub version 2.2.2

% ls ~/.config/hub
ls: /Volumes/precious/gparker/.config/hub: No such file or directory
```

[note `git` is not an alias, so the following is real git and not hub]

```
% git clone git@github.com:/apple/swift.git
Cloning into 'swift'...
remote: Counting objects: 318893, done.
remote: Compressing objects: 100% (123/123), done.
remote: Total 318893 (delta 42), reused 1 (delta 1), pack-reused 318768
Receiving objects: 100% (318893/318893), 66.27 MiB | 4.56 MiB/s, done.
Resolving deltas: 100% (261489/261489), done.
Checking connectivity... done.
Checking out files: 100% (9920/9920), done.

% cd swift

% env HUB_VERBOSE=1 hub checkout http://github.com/apple/swift/pull/862
github.com username: gparker42
github.com password for gparker42 (never stored): 
> GET https://api.github.com/repos/apple/swift/pulls/862
> Authorization: token 
< HTTP 401
{""message"":""Bad credentials"",""documentation_url"":""https://developer.github.com/v3""}
Error getting pull request: Unauthorized (HTTP 401)
Bad credentials
```

[note that I don't have anything in ~/.config/hub after this sequence]

```
% curl -u gparker42 https://api.github.com/repos/apple/swift/pulls/862
Enter host password for user 'gparker42':
{
  ""url"": ""https://api.github.com/repos/apple/swift/pulls/862"",
  ""id"": 54923914,
  ""html_url"": ""https://github.com/apple/swift/pull/862"",
  […]
```
"
pull-request message not added as comment to PR,"I assume the `-m` argument to `hub pull-request` should add the message as a comment to the PR on GitHub? If that is the case, it is not working in v2.2.2.
"
browse not working in repositories cloned from gists,"It would be great if `hub browse` would work in repositories cloned from `gist.github.com` i.e. for remotes of the form `git@gist.github.com:<SHA1>.git` open `https://gist.github.com/<SHA1>`.
"
bash completion not working in Fedora 23,"I'm not sure if it's just my environment, but I cannot make bash completion working for `hub` in Fedora23.

I have actually noticed that I had to put

``` bash
if [ -f /data/software/ext/hub/etc/hub.bash_completion.sh ]; then
    source /data/software/ext/hub/etc/hub.bash_completion.sh
fi

if [ -f /data/software/ext/hub/bin/hub ]; then
    eval ""$(hub alias -s)""
fi
```

`bash_completion` sourcing above the alias.

Now I have bash completion, but only with the original `git` operation and not the augmented list with `hub` specific ones.
"
Unable to automate hub pull-request,"My script looks like this:

```
cd /home/gfreeman/SteamLinux

# git commands to create a branch and push it, this part works as expected

echo ""Creating pull request ($(pwd)) ($(git rev-parse -q --git-dir))""

hub pull-request -m ""cool message"" -b ""master"" -h ""app-1000""
```

And the output of that is:

```
Creating pull request (/home/gfreeman/SteamLinux) (.git)
fatal: Not a git repository
```

Version:

```
git version 2.1.4
hub version 2.2.2
```

Script itself is outside of the git directory, so that could be cause it to use wrong directory?
"
Add option for creating PR using the web interface,"Adds a new flag `-w`/`--web` to the pull-request command. When creating
a new pull-request, you can use the `--web` flag for filling out the
PR's details using GitHub's web interface, instead of using the default editor
for git.

Closes #688.

I wasn't sure about the flag's name. There's already a `--browse` one, so `--browser` was quite a no-no. The `--new` one suggested in the issue's original title seemed ambiguous to me.

Also, I must mention that the contribution process has been quite smooth – way more than I expected. :smile:

Let me know your thoughts, any kind of feedback is welcome!
"
Add user command,"This new command writes the default user from hub config to stdout with a
trailing newline. For example, if you are me you get:

``` sh
$ hub user
sbp
```

This is useful for automating contribution scripts. Say, for example, that you
want to write a script that pushes your contributions to some feature branch.
Using this command, you can do:

``` sh
$ hub push `hub user` `git rev-parse --abbrev-ref HEAD`
```

Whereas otherwise you would have to manually fill in the user name, even though
hub knows what user name it would normally use from config.
"
Cross-platform download script,"Background: I work on a mid-size open-source project. Whenever we get together for coding events, there are always several folks who have partially setup a dev env -- but could use a dozen more tools (including `hub`). It helps to have a script which fetches those tools. Our current script works on Linux/OSX (and partially on Windows), but it only downloads hub 1.x. (When they're available, the ruby commands seem to be standardized enough). 

The hub 2.x binaries are cool because they don't have as many prerequisites and are pretty self-contained, but the install steps aren't as standardized. (You have to figure which binary to get.) It would be awesome to have a small wrapper script which could check `uname` and download the proper binary, as in:

```
$ curl http://hub.github.com/installer | sh -
$ ./hub help
```

If bash isn't quite good enough, one could get a similar benefit by publishing shims on a couple developer networks (e.g. npmjs, rubygems, or getcomposer), e.g.

```
$ npm install -g hub-cli
```
"
Use hub pull-request with SSH,"I am trying to use hub with GitHub Enterprise. My company's enterprise account is set up to only use SSH keys when pulling/pushing. I think they've disabled basic auth altogether. When using `hub pull-request`, hub prompts me for my username/password for GitHub Enterprise, which I do not have. Our web portal requires a username + 2FA token. Tried to use that to no avail.

Is there a way for hub to use the GitHub API and use an SSH key to authenticate itself?

Or am I out of luck?
"
win32 releases are mislabeled,"At https://github.com/github/hub/releases, the win32 release is named ""hub-windows-386-2.2.1.tar.gz"".
But, it is actually compiled for Pentium 4 (and won't run on processors without SSE2).
So, it should be labelled ""[i786](https://myonlineusb.wordpress.com/2011/06/08/what-is-the-difference-between-i386-i486-i586-i686-i786/)"" instead.
I didn't see the Linux release, but this probably applies to it, too.
Note that e.g. most Linux binary packages are still compiled for i686 at most, so this does make a difference.
"
Default Config,"I see in your docs that you have this example

```
git pull-request -F prepared-message.md
```

This is an awesome feature but it would be really nice if we could have something like a .hubconfig file that could specify something like the following.

``` json
{
    ""pull-request"": {
        ""F"": ""prepared-message.md""
    }
}
```

or maybe like this which is a little more clean

``` json
{
    ""pull-request.F"": ""prepared-message.md""
}
```

Any reasons that this would be undesirable? If this seems like a good idea to others I would love to write a PR for it.
"
hub create should git init,"In case a local directory has not been initialized as a Git repository, `hub create` should do so automatically, rather than (as currently) returning exit status `1` with standard out error message:

```
'create' must be run from inside a git repository
```

E.g.:

```
mkdir -p ~/git/my-repo && cd ~/git/my-repo
hub create
```

To replace what's currently necessary:

```
mkdir -p ~/git/my-repo && cd ~/git/my-repo
git init
hub create
```
"
"Incorrect ""Did you mean..."" output with Hub","For example, when running `git puhs` Git will output

```
git: 'puhs' is not a git command. See 'git --help'.

Did you mean this?
    push
```

But when running `git frok` Git will output

```
git: 'frok' is not a git command. See 'git --help'.

Did you mean this?
    fsck
```

Completely ignoring the fact that there is a git subcommand called `fork`.
"
"`hub clone org/repo` private repo, fails unless explicit https","I'm a member of organization `org` which has private repository `repo`:

For `hub clone org/repo`:

```
github.com username: lukedmor
github.com password for lukedmor (never stored): 
Cloning into 'repo'...
fatal: remote error:
 repository not found.
```

However, `hub clone https://github.com/org/repo` does work correctly.
"
How to create a pull request body with hub pull-request,"It would be great to add some help text as to how to create a pull request title _and_ body with `hub pull-request`, as currently nothing is documented. I got this to work with:

`echo -e ""Pull request title goes here\n\nHere's the pull request body"" | hub pull-request -F -`
"
New command/option to open an existing pull request,"I would like to have a command to open/browse an existing pull request.

Since `pull-request` is able to see if there's a pull-request already (at least when it tries to create one), this should be possible.

It should default to the current branch with its tracking remote/repo.

Related issue: https://github.com/github/hub/issues/880 - which is about displaying the URL to a pull request.
"
Authentication should go through a user's browser,"The current approach to getting an OAuth token is suboptimal. A better approach would be to use `xdg-open` / `open` to direct the user to GitHub's site in their browser for authentication and granting authorization. That way, the user can verify that they aren't being fished, use their password manager, clearly see the scopes they are granting authorization for and more.

As it is now, the user must trust that the program is neither malicious nor exploitable.
"
Clear instructions for `hub pull-request`,"Please provide complete instructions for creating a pull request, including all steps that make a difference, with sample arguments: `hub clone`, `hub fork`, creating the feature branch with `git checkout -b` and pushing it correctly (I see there's https://github.com/github/hub/issues/877). I've had trouble creating pull requests from the command line so I'm not sure what combination of commands actually works.
"
pull-request for unpushed branch opens message editor with unrelated remote,"Steps to reproduce:
1. git checkout -b feature_branch org/master
2. git commit
3. hub pull-request -b org:master

This results in the following prepopulated message:

```
  1 
  2 # Requesting a pull to org:master from unrelated:feature_branch
  3 #
  4 # Write a message for this pull request. The first block
  5 # of text is the title and the rest is description.
```

The .git/config for the feature_branch is

```
[branch ""feature_branch""]
    remote = org
    merge = refs/heads/master
```

My remotes are listed as follows on git remote -v 

```
org git@github.com:xxx (fetch)
org git@github.com:xxx (push)
unrelated   git@github.com:xxx (fetch)
unrelated   git@github.com:xxx (push)
unrelated2  git@github.com:xxx (push)
unrelated2  git@github.com:xxx (fetch)
myfork  git@github.com:xxx (fetch)
myfork  git@github.com:xxx (push)
unrelated3  git@github.com:xxx (fetch)
unrelated3  git@github.com:xxx (push)
unrelated4  git@github.com:xxx (push)
unrelated4  git@github.com:xxx(fetch)
unrelated5  git@github.com:xxx (fetch)
unrelated5  git@github.com:xxx (push)
```

I am guessing it picks up first that does not match base from the list. I think it should rather fail if it finds there's more than one potential remote.
"
Auto-complete or show suggestions when tab is pressed in hub commands,"It would be cool to auto-complete or show suggestions. For example: `hub clone github/` + 2 \* `tab` would list all the public repos of Github. And `hub clone github/hu` + `tab` would complete `github/hub`
"
"""A pull request already exists"" error should show the url","When running `hub pull-request`, the ""A pull request already exists for ..."" error message should also show the URL, just like a successful attempt would do.
"
Unknown CA Authority for Github Enterprise,"Hi,

I have set the local hub.host but when I try to do a 'hub pull-request', I am getting this:

Post https:myhost/mypath: x509: certificate signed by unknown authority

I tried adding the certificate manually to global git setup, like:

git config --global --add http.sslCert path-to-pem
git config --global --add http.sslVerify false

They don't seem to work.
My regular git works fine.

What else can I try?

Thanks.
"
"Possible feature: ""search"" command","Hi !

I'd like to take the time to work on a simple search command to provide a quick interface to lookup repositories.

What I had in mind: https://gist.github.com/MattHauglustaine/0ee784ad07e20b5c616f

Any thoughts?
"
Hub pull-request doesn't take GitHub repository settings into account,"Hello.

We have a private repo with default branch named `develop`. All pull requests go there and `master` branch is for stable code. But hub doesn't take this into account and tries to open pull requests to master if I do not use `-b` option.

Hub version:

```
$ hub version
git version 1.9.4.msysgit.2
hub version 2.2.0
```
"
FR: set upstream remote when cloning a forked repo.,"I hope hub can automatically set the upstream remote of my forked repo during `git clone`.
"
"Improve and simplify zsh completion, using `user-commands` zstyle","Defining the hub commands via the user-commands zstyle makes it less
fragile and more straightforward.

This also drops support for the bash-completion from the git
distribution.
"
"Alias ""browse"" as ""open""","I get this wrong all the time, probably the reason is that other CLI adopted ""open"" to perform similar actions. Example that come to mind:
- `open`
- `bundle open`
- `gem open`
- `powder open`

Of course I know\* that I can alias it in my `.gitconfig`, but maybe it will come useful to others.

_\* I just found it works_
"
Forking gists,"I've just cloned a gist repository:

```
[tom@elbridge 788e00bd9293a3b05895]$ git remote -v 
origin  https://gist.github.com/japaric/788e00bd9293a3b05895 (fetch)
origin  https://gist.github.com/japaric/788e00bd9293a3b05895 (push)
```

And I thought it'd be nice to be able to fork the gist + push to my fork using `hub`, as can be done with regular GitHub repositories. Alas:

```
[tom@elbridge 788e00bd9293a3b05895]$ hub fork
Error: repository under 'origin' remote is not a GitHub project
```
"
Allow hub browse to accept remote as parameter,"`hub browse -r <remote>` or something to that effect. Perhaps just allow `hub browse <remote>/<branch>` if possible.
"
Possible Feature/Change:  GIT_EDITOR is parsed as shell syntax,"This might just be a design decision, but at the very least it is a heads up.   The hub command will use the GIT_EDITOR (or other common suspects) to invoke an editor of choice.   There can be problems if you qualify the path in your command and depending on the windows shell, MsysGit or Cygwin, you can have unexpected behavior and failures.

% GIT_EDITOR=""/bin/vim"" hub commit --amend
D:/Dev/Program Files/Git/bin/vim: D:/Dev/Program: No such file or directory
error: There was a problem with the editor 'D:/Dev/Program Files/Git/bin/vim'.
Please supply the message using either -m or -F option.

The problem above is due to the space in the path, even though /bin/vim has no spaces, it is converted to a DOS path and that path may have spaces  if installed in a standard location.  Both the git and hub commands expose the editor variable to shell quoting.  Strange as it may seem, if the editor path is a canonical DOS path, i.e., d:\dev\Program Files (x86)\git\vi.exe, it will interpret the backslashes instead of seeing them as path separators.  The fix is to twice quote the string and to use forward slashes:

% GIT_EDITOR=""'d:/dev/Program Files (x86)/git/vi.exe'"" git commit --amend

Or if you are using vi/vim as your default editor, GIT_EDITOR is not required.   Also be aware that EDITOR or VISUAL are other environment variables that may be used in the absence of GIT_EDITOR.

This also can happen with a hub pull-request, however, it shows up differently:

% hub pull-request -b xxxx:yyyyy
error using text editor for pull request message

The workarounds are to quote the string and use forward slashes so that the shellquote.Split() that is done in cmd.go doesn't interpret backslashes and spaces.    Ideally, the openTextEditor() function in editor.go would normalize the string before calling cmd.New(program) where program is the raw string returned from the environment variable.
"
Feature request: Make 'origin' remote name configurable.,"At some places, like `hub create`, an `origin` remote name is used by default.
I like using `upstream` instead of `origin`.
So, it would be nice for such default remote name to be configurable somewhere.
Thanks, and keep up your hard work. hub rocks!
"
hub fork <new repo name>,"It would be nice to be able to fork a repo with another name

``` sh
git clone github/hub hub-custom
cd hub-custom
git fork hub-custom
```

This would result in a fork on my github that's named hub-custom
"
Open the GitHub web interface to create the new pull request,"Instead of specifying a message/file/editor, just open the github page for a new pull request with the specified base and head. This way I can use the github interface for entering my message and description (also gives me the autocompletion for tagging reviewers).
"
Would like to open user page,"I thought this command, `hub browse camelmasa`,  to open user page but opened 404 page, https://github.com/camelmasa/camelmasa.

I think should open user page. Do you think about this ?

Thanks :smiley: 
"
git completion using gitfast oh-my-zsh plugin ,"I'd love it if hub's git completion would work nicely with the git completion setup by the gitfast plugin that comes with oh-my-zsh, see https://github.com/robbyrussell/oh-my-zsh/tree/master/plugins/gitfast.
"
Instruction or methods for uninstallation,"I know it is probably as simple as `find /usr/local/ -name 'hub*'` and remove all files. However, I think a proper documented/supported method for uninstallation should be available for users not familiar with Gem or Unix in general. 
"
Unable to use git when cwd is nonexistent directory,"I'm now getting

```
/usr/local/bin/hub:1227:in `pwd': No such file or directory - getcwd (Errno::ENOENT)
    from /usr/local/bin/hub:1227:in `<module:Context>'
    from /usr/local/bin/hub:765:in `<module:Hub>'
    from /usr/local/bin/hub:764:in `<main>'
```

for whatever I try to do with Git.
"
"feature: When cloning a fork, set remote name to username","It's useful in pull-request flows. For example when I fork `rails`, I want `rails` to be `origin` and my fork to be `sheerun`. My proposal is:

```
hub clone sheerun/rails
```

would detect if `sheerun/rails` is fork of `rails/rails` and add two remotes:
- `origin` that is set to `rails/rails`
- `sheerun` that is set to `sheerun/rails`

The `master` branch would remote track `sheerun/rails`
"
2FA for hub pull / push,"I know that hub works with 2FA for hub fork, hub pull-request but I'd like to use hub pull / push and be promoted for 2FA.  AIUI, hub pull / push just goes to regular git, which does not understand 2FA, uses Personal Access Tokens  which is what I'm trying to avoid
"
pull-request uses wrong base,"pull-request used to correctly use the base from my `origin` remote, but now it seems to want to make pull requests against asmeurer/repo:master (for a branch that I've pushed to my fork). 
"
Enhance ci-status,"- Get rid of `-v` switch, should be default
- Supply `-b` switch for opening in browser (like `hub browse`)
- Perhaps supply `-q` switch

I could give it a try, but I wanted to discuss that first.
"
hub cherry-pick (can) fail(s) if remote already exists,"```
bash-3.2$ hub --version
git version 1.8.3.4
hub version 1.10.6
```

Previously handled pull-requests from this fork, went to cherry-pick a commit:

```
bash-3.2$ hub cherry-pick https://github.com/adferguson/frenetic/commit/d952e26028661b3e15d7b84610bc8104b17de812
fatal: remote adferguson already exists.
```

Also fails with github markdown:

```
hub cherry-pick adferguson@d952e26028661b3e15d7b84610bc8104b17de812
fatal: remote adferguson already exists.
```

Removing the remote and then cherry-picking works. Can't seem to force it to reproduce.
"
hub create ORGANIZATION/NAME cannot set team_id,"``` bash
$ hub create ORGANIZATION/NAME
Error creating repository: Unprocessable Entity (HTTP 422)
Invalid value for ""team_id"": """"
```

I know the team_id which should be assigned to the new repo, but I cannot set it using `hub create`.
"
Support web-based OAuth flow for Enterprise authentication,"Hi,

I am trying to use with GitHub Enterprise, however it keeps asking for a username and password. We are using the CAS backend.

Thanks!
"
Add `hub show` for commits,"``` shell
afischer@leonard:~$ hub show https://github.com/Prosk8er/phpbb3/commit/b1864431e1e123c71642f9f8378b908a5343bebd
fatal: Not a git repository (or any parent up to mount point /home)
Stopping at filesystem boundary (GIT_DISCOVERY_ACROSS_FILESYSTEM not set).
```

``` shell
afischer@leonard:/var/www/projects/phpbb3 (develop) $ hub show https://github.com/Prosk8er/phpbb3/commit/b1864431e1e123c71642f9f8378b908a5343bebd
fatal: Invalid object name 'https'.
```

The expected result would be having the commit show just like `git show` shows commits, i.e.

``` diff
commit b1864431e1e123c71642f9f8378b908a5343bebd
Author: Prosk8er <prosk8er@gotskillslounge.com>
Date:   Mon Aug 19 10:49:47 2013 -0400

    [ticket/11801] removed some whitespace and added missing semi colon's in css

diff --git a/phpBB/styles/prosilver/theme/colours.css b/phpBB/styles/prosilver/theme/colours.css
...
```
"
Traverse organizations you belong to for `git clone repo`,"I'd love to be able to do `git clone foo`and it would do `git clone git://github.com/YOUR_USER/foo.git` and  `git clone git://github.com/YOUR_ORGANISATION/foo.git`

Basically it should traverse `user > a-org > b-org ...`
"
zsh option `complete_aliases` breaks completion script,"`setopt complete_aliases`:

> Prevents aliases on the command line from being internally substituted before completion is attempted.  The effect is to make the alias a distinct command for completion purposes.

This breaks our current zsh completion. I guess what happens is that it skips `_hub` completion and loads `_git` directly?

@goodell tried to solve this in goodell/hub@aa1675d but I feel that this approach is too brittle. Maybe we shouldn't be trying to fix this, and have people disable `complete_aliases`? Why do people set it in the first place?

So far I've counted the option enabled in Holman's and Pengwynn's dotfiles. It is not enabled in Oh-my-zsh (thanks @blueyed for robbyrussell/oh-my-zsh#241) nor Prezto.

@goodell: Would it be possible to create some kind of ""doctor"" script which you could eval in your zsh and it will tell you if the completion is hooked up OK and whether you need to fix something about your environment?
"
Fork and clone in one command,"Examples:

```
hub clone -f user/repo
hub clone --fork user/repo
```

> Forks and then clones, adding both the upstream and own repos as reference. I prefer my own repo to be called `origin` (since this is usually the only one I'm allowed to push to), and the remote repo to be called by the other user name or `upstream`.

```
hub fork user/repo
```

> Should work outside a repository. Perhaps easier than enhancing `clone`.
"
`fetch` broken when fork is of a different name,"e.g.

```
# repo: ghedo/p5-Dist-Zilla-Plugin-GitHub
$ hub fetch doherty
fatal: 'doherty' does not appear to be a git repository
fatal: Could not read from remote repository.
```

Note that doherty's repo is named ""Dist-Zilla-Plugin-GitHub"", i.e. without the ""p5-"" prefix.
"
Dedicated command for authentication & configuration,"All I really use hub for is pulling down my own repos. As a result, I've never been prompted for my username/password to connect to the API, so I'm always prompted for my username. I'd appreciate some way to just trigger the configuration by itself.
"
pull-request should create the remote branch if it doesn't already exist,"When the remote branch on your own repository doesn't exist, the current behavior of pull-request is confusing: it opens the editor with a stub message, and then if you fill out a message and continue, the submission fails with an opaque error message: ""Error creating pull request: Unprocessable Entity (HTTP 422)"".

A better error message like would help, but in this case, I think pull-request should just automatically push to a new remote branch before opening the pull request, since that's almost always what you want.
"
hub alias hides git-alias,"`hub alias` does not seem to take `--noop` into account, so it hides `git-alias` from https://github.com/visionmedia/git-extras.

Since it's a hub-specific command, and it's only useful at setup time, I propose to either:
- make it aware of `--noop`
- hide it as an option rather than a command, i.e. `hub [--alias|--shell-alias] [SHELL]`
- make it work only if `$0` is explicitly `hub`
"
